,squad_id,GF,GA_x,Pts,xG_x,xGA,xGD,# Pl,Cmp_x,Att_x,TotDist_x,PrgDist_x,Cmp.1,Att.1_x,Cmp.2,Att.2_x,Cmp.3,Att.3,Ast,xA,3-Jan_x,PPA,CrsPA,Prog_x,SCA,PassLive,PassDead,Drib,Sh_x,Fld_x,Def,GCA,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Gls,Sh_y,SoT,Dist,FK_x,PK,PKatt_x,xG_y,npxG,Tkl,TklW_x,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tkl.1,Att_y,Past,Press,Succ_x,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int_x,Clr,Err,Poss,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live,Succ_y,Att_x,#Pl,Megs,Carries,TotDist_y,PrgDist_y,Prog_y,3-Jan_y,CPA,Mis,Dis,Targ,Rec,Prog.1,GA_y,SoTA,Saves,CS,PKatt_y,PKA_x,PKsv,PKm,Save%.1,GA,PKA_y,FK_y,CK,OG_x,PSxG,PSxG+/-,/90,Cmp_y,Att_y,Att.1_y,Thr,Launch%,AvgLen,Att.2_y,Launch%.1,AvgLen.1,Opp,Stp,#OPA,AvgDist,CrdY,CrdR,2CrdY,Fls,Fld_y,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG_y,Recov,Won,Lost
10,11,24,32,18,18.7,35.1,-16.3,26,6898,8749,122639,42196,3141,3549,2715,3214,818,1563,19,14.6,474,136,17,598,267,210,18,17,9,8,5,41,28,3,6,1,2,1,23,162,68,16.3,2,1,2,18.7,17.2,299,188,130,126,43,111,261,150,2806,838,933,1206,667,270,65,0,205,304,321,4,51.9,1375,3825,4836,2818,366,9941,177,339,188,24,7001,34581,17858,712,214,69,222,231,7957,6898,598,32,97,66,0,1,1,0,0,0.0,32,1,0,5,0,34.5,2.5,0.15,91,324,503,104,46.9,38.6,173,50.9,41.8,169,6,21,15.5,33,2,0,172,239,14,146,304,188,1,1,0,1479,225,315
11,12,15,22,17,21.3,22.2,-0.9,23,5923,7714,115409,42516,2556,2989,2349,2825,921,1622,11,15.6,442,150,45,548,347,261,25,18,16,19,8,22,18,2,0,1,1,0,15,224,62,17.7,9,2,2,21.3,19.8,326,203,152,128,46,104,265,161,2313,745,726,1043,544,234,58,2,176,292,331,3,49.6,1001,3203,4487,2616,405,8906,131,243,144,17,5999,29113,14715,588,205,54,226,196,6915,5923,548,22,48,30,7,4,4,0,0,0.0,22,4,0,2,1,19.7,-1.3,-0.08,101,243,329,56,45.3,38.5,131,71.8,49.1,137,9,7,13.3,47,4,4,246,239,44,224,292,203,1,4,1,1468,335,273
12,13,18,27,14,18.1,20.9,-2.8,29,4634,6324,99785,34373,1561,1883,2091,2575,897,1598,11,13.1,362,101,28,488,252,186,25,8,12,12,9,28,22,3,1,1,1,0,18,159,45,16.8,4,2,2,18.1,16.7,233,135,111,92,30,84,226,142,2538,760,726,1188,624,222,48,2,174,257,294,4,47.2,887,2694,3761,2094,352,7295,90,195,100,17,4648,25148,13490,492,149,53,236,140,5641,4634,488,27,78,53,3,1,1,0,0,0.0,27,1,1,9,1,20.8,-5.2,-0.35,58,165,279,71,39.4,36.6,109,50.5,41.2,135,6,9,15.1,38,3,2,248,188,23,189,257,135,0,1,1,1380,304,270
13,14,35,18,36,30.6,18.7,11.9,25,6636,8260,126141,47133,2736,3110,2881,3338,877,1473,19,17.6,553,156,28,727,389,273,38,20,21,22,15,45,35,1,1,5,3,0,35,266,99,17.3,16,3,3,30.6,28.3,300,188,147,98,55,130,309,179,2728,819,792,1167,769,210,50,1,160,271,268,4,54.4,1008,3370,4522,3128,481,9463,164,337,180,24,6555,33853,18496,728,220,91,252,236,7581,6636,727,18,50,35,5,2,2,0,0,0.0,18,2,1,3,1,16.2,-0.8,-0.05,100,207,398,94,38.4,35.6,115,47.0,40.1,138,18,21,15.1,48,0,0,268,233,26,186,271,188,2,2,1,1483,269,246
14,15,32,20,31,25.2,26.3,-1.1,24,7070,8633,142613,45489,2662,2971,3190,3617,1103,1781,26,17.6,476,152,37,533,320,247,23,10,18,12,10,46,36,4,1,3,1,1,31,208,61,16.2,6,2,2,25.2,23.8,257,160,126,84,47,79,216,137,2515,717,738,1095,682,218,57,0,161,239,264,11,55.1,1292,3974,4402,2651,409,9626,122,223,132,23,6821,33117,17237,610,198,49,187,176,7838,7070,533,20,75,56,5,3,2,1,0,33.3,20,2,0,2,0,24.4,4.4,0.26,103,260,581,77,30.6,32.8,143,57.3,45.8,129,13,21,15.0,42,2,1,253,209,32,200,239,160,1,3,0,1269,180,242
15,16,20,19,29,22.7,22.0,0.7,28,5538,7231,114303,40746,2088,2387,2441,2838,925,1758,15,15.1,441,114,42,428,287,195,31,20,15,18,8,29,15,6,3,2,3,0,20,191,67,14.9,6,1,1,22.7,21.9,284,179,138,99,47,103,252,149,2493,767,742,1136,615,244,45,0,199,267,352,7,44.1,1013,3042,4227,2456,361,8444,114,218,121,14,5688,30124,15143,590,195,53,222,182,6481,5538,428,19,79,62,7,3,3,0,0,0.0,19,3,0,3,0,21.3,2.3,0.14,142,409,460,60,65.4,49.4,133,81.2,60.4,152,24,19,15.5,36,1,1,192,184,34,213,267,179,1,2,0,1384,266,298
16,17,27,20,26,24.8,19.1,5.7,22,6761,8384,128577,40496,2837,3183,2886,3291,912,1605,20,19.1,428,142,23,536,317,249,23,12,11,14,8,48,36,1,4,3,3,1,27,206,69,17.1,6,1,1,24.8,24.1,315,184,167,107,41,121,251,130,2586,714,853,1069,664,226,48,3,178,212,306,1,50.2,1228,4010,4583,2243,388,9423,119,231,131,23,6706,33840,18259,646,199,72,213,166,7596,6761,536,20,56,38,4,3,3,0,0,0.0,20,3,1,1,0,19.2,-0.8,-0.05,57,228,376,56,41.2,35.9,132,55.3,43.5,158,10,10,13.8,41,1,1,247,212,28,163,212,184,1,3,0,1383,224,262
17,18,22,19,26,22.7,18.1,4.5,21,6019,7677,125473,44630,2140,2468,2743,3226,1051,1729,18,16.4,438,116,44,515,269,195,28,12,18,11,5,37,27,3,2,4,1,0,22,192,70,16.1,5,1,2,22.7,21.2,248,158,124,105,19,102,229,127,2549,720,923,1111,515,243,58,0,185,229,314,7,45.6,1118,3546,4323,2114,357,8694,107,184,118,10,5686,27909,14158,554,166,58,195,163,6964,6019,515,17,66,49,4,2,2,0,0,0.0,17,2,3,3,0,15.8,-3.2,-0.19,130,288,384,74,51.8,40.1,142,62.7,48.9,128,13,2,12.6,38,1,0,222,201,37,201,229,158,1,2,0,1341,357,262
18,19,20,19,24,27.0,20.8,6.2,21,7275,8776,142417,46642,2887,3252,3242,3662,1045,1600,14,19.9,602,185,34,680,373,286,31,13,15,20,8,32,23,3,2,1,3,0,19,222,72,17.2,12,2,3,27.0,24.8,234,156,112,84,38,93,232,139,2198,646,674,910,614,204,42,1,162,221,266,2,56.1,1070,3333,4580,3273,466,9723,121,264,140,11,6924,35657,19775,818,260,94,211,161,8115,7275,680,19,58,40,5,1,1,0,0,0.0,19,1,1,2,0,18.4,-0.6,-0.04,93,205,470,85,31.3,31.4,105,55.2,43.1,126,9,19,17.0,36,3,1,227,192,20,219,221,156,2,1,0,1239,213,195
19,20,24,19,23,22.5,23.5,-0.9,26,6888,8397,134607,44691,2780,3082,2949,3380,1033,1628,15,14.8,434,119,40,514,292,217,21,11,19,16,8,43,31,1,0,3,5,3,23,190,70,16.7,5,4,4,22.5,19.7,258,152,150,81,27,104,262,158,2211,613,787,952,472,202,63,0,139,291,303,5,51.8,1267,3669,4668,2418,347,9428,113,207,120,13,6572,32835,16746,592,185,64,190,155,7781,6888,514,19,66,48,3,2,2,0,0,0.0,19,2,1,1,0,21.4,2.4,0.15,95,216,408,65,35.0,34.1,175,41.7,36.7,129,3,8,13.7,29,1,1,159,217,22,218,291,152,4,2,0,1198,225,209
20,21,27,27,22,24.7,26.1,-1.4,26,6750,8519,132607,45483,2750,3146,2879,3332,1027,1782,19,17.3,536,157,27,657,350,254,31,17,22,22,4,48,29,5,4,2,8,0,27,222,66,17.8,9,4,4,24.7,21.6,328,202,202,94,32,112,278,166,2719,812,1053,1034,632,278,79,0,199,300,395,4,48.9,1369,4066,4455,2775,415,9892,155,290,172,19,6568,34056,18803,675,195,54,242,188,7749,6750,657,27,83,57,4,2,1,1,0,50.0,27,1,1,2,1,28.8,2.8,0.16,62,238,337,73,43.9,39.7,158,57.0,46.4,217,12,7,12.0,56,5,4,262,229,17,188,300,202,4,2,1,1544,256,275
21,22,21,21,21,21.9,24.4,-2.5,23,6500,7893,133577,42344,2226,2529,3068,3408,1098,1698,13,14.8,446,104,35,516,308,241,18,11,13,18,7,34,24,1,3,4,2,0,21,201,69,17.4,8,2,2,21.9,20.3,263,168,149,85,29,87,245,158,2379,629,871,935,573,248,70,1,178,262,365,3,47.9,1354,4096,3979,2418,328,9102,153,264,163,16,6477,34154,19267,616,212,61,190,181,7396,6500,516,21,75,56,5,2,2,0,0,0.0,21,2,0,4,0,23.7,2.7,0.16,91,222,495,88,29.3,31.3,147,52.4,42.1,161,5,10,12.0,56,3,2,232,196,28,188,262,168,2,2,0,1141,201,239
22,23,20,21,21,21.0,27.9,-6.9,22,5888,7552,113998,43575,2515,2902,2372,2818,878,1528,12,14.0,498,119,31,585,314,228,32,12,14,23,5,30,23,2,2,1,2,0,20,201,72,18.0,12,2,2,21.0,19.5,298,182,141,119,38,115,245,130,2730,779,904,1207,619,278,67,2,211,322,364,3,46.2,1153,3373,4232,2738,356,8958,171,322,183,22,6000,29928,16120,622,207,57,274,222,6821,5888,585,21,83,63,3,4,3,1,0,25.0,21,3,1,3,1,25.1,5.1,0.3,89,281,375,72,50.1,41.4,134,69.4,49.8,175,7,9,13.6,50,1,1,252,227,22,167,322,182,2,4,1,1498,261,265
23,24,18,28,21,19.9,25.8,-5.9,28,5504,7054,115847,42028,1920,2203,2564,3003,945,1610,6,11.4,440,130,37,495,279,195,29,13,18,17,7,24,16,2,0,1,5,0,18,179,46,16.8,4,4,5,19.9,16.1,284,177,168,72,44,88,240,152,2704,679,986,1098,620,231,70,2,161,293,356,5,40.8,1135,3427,3765,2198,347,8185,108,207,118,8,5356,24756,12788,466,134,47,188,155,6200,5504,495,28,72,46,6,3,2,1,0,33.3,28,2,0,2,0,23.8,-4.2,-0.24,101,241,283,64,51.2,41.5,125,76.8,52.9,157,13,9,12.9,36,1,1,218,233,25,203,293,177,5,3,0,1191,254,255
24,25,17,21,19,23.2,20.1,3.1,25,5741,7237,124140,43438,1966,2271,2597,3003,1094,1737,10,14.8,462,133,28,549,317,224,35,15,18,22,3,28,19,0,2,2,5,0,17,203,63,16.2,9,2,2,23.2,21.7,257,159,115,112,30,102,230,128,2102,610,600,1022,480,214,66,2,148,224,278,2,48.1,1046,3103,4145,2063,394,8134,107,181,115,14,5478,26002,13546,592,149,72,206,123,6567,5741,549,21,63,44,6,3,3,0,0,0.0,21,3,0,2,0,20.1,-0.9,-0.05,88,202,344,58,45.1,38.9,118,39.8,34.8,115,6,13,15.7,46,3,2,225,202,31,196,224,159,2,3,0,1204,246,201
25,26,16,32,16,15.5,26.7,-11.2,21,7203,8958,145501,42747,2753,3134,3223,3680,1148,1870,8,11.5,555,101,20,520,285,197,27,21,7,24,9,22,12,2,2,2,4,0,15,184,51,18.1,12,1,1,15.5,14.8,268,168,102,118,48,86,196,110,2562,722,624,1208,730,238,52,0,186,284,315,2,50.1,1088,3531,5052,3063,344,9991,133,267,153,11,7073,35736,19990,720,250,62,251,185,8141,7202,520,32,68,38,4,3,2,1,0,33.3,32,2,1,1,0,25.8,-6.2,-0.35,82,226,393,62,39.7,38.1,133,52.6,43.4,144,7,9,15.2,39,4,2,245,244,17,195,284,168,1,3,0,1419,272,286
26,27,25,34,15,20.7,29.9,-9.3,24,7384,8851,149477,44317,2736,3050,3347,3734,1211,1799,18,14.6,548,134,29,566,354,254,34,17,21,16,12,44,30,4,2,3,5,0,25,210,66,18.1,5,3,3,20.7,18.4,287,186,138,108,41,110,240,130,2269,740,675,1041,553,192,47,2,145,273,216,4,60.2,978,3409,5170,2813,339,9891,160,315,181,22,7469,36894,19506,728,193,48,222,219,8147,7384,566,34,89,59,2,4,4,0,0,0.0,34,4,1,8,0,31.4,-2.6,-0.16,82,203,401,96,37.2,36.6,110,49.1,40.3,102,10,13,15.2,30,1,0,208,259,14,178,273,186,3,4,0,1255,185,200
